PlaceName,Address,Rating,PriceLevel,PhoneNumber,OpeningPeriods,PlaceId,StartTime,EndTime,Cost
第一鴨肉冬粉,820台灣高雄市岡山區岡山路191號,4.3,Inexpensive,+886 7 623 5271,星期一: 休息;星期二: 16:00 – 00:00;星期三: 16:00 – 00:00;星期四: 16:00 – 00:00;星期五: 16:00 – 00:00;星期六: 16:00 – 00:00;星期日: 16:00 – 00:00;,ChIJP6tu_S0MbjQRZ8PrFOo9b5g,,,
暖暖輕食坊 Warm House Brunch,820台灣高雄市岡山區大德三路82-1號,4.4,Moderate,+886 7 622 8583,星期一: 休息;星期二: 09:00 – 20:00;星期三: 09:00 – 20:00;星期四: 09:00 – 20:00;星期五: 09:00 – 20:00;星期六: 09:00 – 20:00;星期日: 09:00 – 20:00;,ChIJoQeVQdUNbjQRHPmTIlbkcQ4,,,
大亨牛排,820台灣高雄市岡山區民有路40號,3.6,Inexpensive,+886 7 624 5428,星期一: 10:00 – 22:00;星期二: 10:00 – 22:00;星期三: 10:00 – 22:00;星期四: 10:00 – 22:00;星期五: 10:00 – 22:00;星期六: 10:00 – 22:00;星期日: 10:00 – 22:00;,ChIJh2LDlNQNbjQR3loOAGiynag,,,
