PlaceName,Address,Rating,PriceLevel,PhoneNumber,OpeningPeriods,PlaceId,StartTime,EndTime,Cost
A-STEAK 牛排餐酒館,820台灣高雄市岡山區岡山路518-2號,4.5,Expensive,+886 7 622 5110,星期一: 休息;星期二: 17:00 – 22:00;星期三: 17:00 – 22:00;星期四: 17:00 – 22:00;星期五: 17:00 – 22:00;星期六: 11:30 – 14:30/ 17:00 – 22:00;星期日: 11:30 – 14:30/ 17:00 – 22:00;,ChIJvYjwezIMbjQRVj6Scz61G3s,,,
食在好吃鹹酥雞,820台灣高雄市岡山區成功路86號,4.4,Free,,星期一: 00:00 – 23:45;星期二: 17:00 – 23:45;星期三: 17:00 – 23:45;星期四: 17:00 – 23:45;星期五: 17:00 – 23:45;星期六: 17:00 – 23:45;星期日: 休息;,ChIJA3iAPDMMbjQRLzJbxImugRA,,,
岡山林家米糕城,820台灣高雄市岡山區維仁路17號,3.8,Inexpensive,+886 7 621 7398,星期一: 16:30 – 00:00;星期二: 16:30 – 00:00;星期三: 16:30 – 00:00;星期四: 16:30 – 00:00;星期五: 16:30 – 00:00;星期六: 16:30 – 00:00;星期日: 16:30 – 00:00;,ChIJAZxZLSoMbjQRSyk3r4YRa6U,,,
