PlaceName,Address,Rating,PriceLevel,PhoneNumber,OpeningPeriods,PlaceId,StartTime,EndTime,Cost
山禾堂拉麵-岡山店,820台灣高雄市岡山區大仁南路60號,4.6,Moderate,+886 7 621 0988,星期一: 11:00 – 14:00/ 17:30 – 21:00;星期二: 11:00 – 14:00/ 17:30 – 21:00;星期三: 11:00 – 14:00/ 17:30 – 21:00;星期四: 11:00 – 14:00/ 17:30 – 21:00;星期五: 11:00 – 14:00/ 17:30 – 21:00;星期六: 11:00 – 14:30/ 17:30 – 21:00;星期日: 11:00 – 14:30/ 17:30 – 21:00;,ChIJyacnMdQNbjQRh-tn9jLsQAU,,,
游李家-天然酵母披薩專賣 岡山店,820台灣高雄市岡山區大德二路213巷5號,4.6,Moderate,+886 7 623 1118,星期一: 11:00 – 14:00/ 16:30 – 20:30;星期二: 11:00 – 14:00/ 16:30 – 20:30;星期三: 休息;星期四: 休息;星期五: 11:00 – 14:00/ 16:30 – 21:00;星期六: 11:00 – 15:00/ 16:30 – 21:00;星期日: 11:00 – 15:00/ 16:30 – 21:00;,ChIJNYwx39UNbjQRcNQrbGWMAF0,,,
小狸食堂,820台灣高雄市岡山區維仁路142號,4.5,Inexpensive,+886 7 621 1831,星期一: 休息;星期二: 11:00 – 14:00/ 17:00 – 19:30;星期三: 11:00 – 14:00/ 17:00 – 19:30;星期四: 11:00 – 14:00/ 17:00 – 19:30;星期五: 11:00 – 14:00/ 17:00 – 19:30;星期六: 11:00 – 14:00/ 17:00 – 19:30;星期日: 休息;,ChIJ4-zSbCwMbjQR5bAF6q47fI4,,,
